                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.589,                 2.8506,                 3.4935,                0.00099,                0.04444,                0.00062,                0.00015,                 4.6004,                 3.6965,                 4.1125,             0.00054949,             0.00054949,             0.00054949
                      2,                 2.3044,                 1.7611,                 2.3849,                 0.5447,                0.48464,                0.46059,                0.18823,                  2.086,                 2.2004,                 2.2829,              0.0010979,              0.0010979,              0.0010979
                      3,                 2.0846,                 1.6029,                 2.0598,                0.46299,                0.50378,                0.47273,                0.21514,                 1.8358,                 1.5396,                 1.9676,              0.0016389,              0.0016389,              0.0016389
                      4,                 1.9973,                 1.5017,                 1.9227,                0.60858,                0.69717,                0.65243,                0.33479,                 1.7465,                 1.3687,                 1.8156,               0.001634,               0.001634,               0.001634
                      5,                 1.8237,                 1.3788,                 1.7911,                0.59994,                0.70068,                0.69778,                0.33289,                 1.7405,                 1.2677,                 1.8159,               0.001623,               0.001623,               0.001623
                      6,                 1.7363,                 1.2861,                 1.6963,                 0.7262,                0.80204,                0.80038,                0.45364,                  1.594,                 1.1206,                 1.6763,               0.001612,               0.001612,               0.001612
                      7,                 1.6894,                 1.2557,                 1.6543,                0.75852,                0.77769,                0.81978,                0.46029,                 1.5323,                 1.0693,                 1.6341,               0.001601,               0.001601,               0.001601
                      8,                 1.6429,                 1.1759,                 1.6068,                0.58491,                0.52683,                0.58254,                0.30362,                 1.6181,                 1.5626,                 1.7015,                0.00159,                0.00159,                0.00159
                      9,                 1.5997,                  1.168,                 1.5679,                0.62603,                0.67634,                0.67587,                0.38735,                 1.5837,                 1.3118,                 1.6786,               0.001579,               0.001579,               0.001579
                     10,                 1.6036,                 1.1434,                  1.571,                0.75161,                0.77998,                0.83317,                0.52268,                 1.3661,                0.99191,                 1.4921,               0.001568,               0.001568,               0.001568
                     11,                 1.5417,                 1.0743,                 1.5224,                0.80001,                0.80523,                0.88651,                0.56631,                 1.3717,                0.92447,                 1.4775,               0.001557,               0.001557,               0.001557
                     12,                 1.5147,                 1.0568,                 1.5156,                0.77558,                0.83433,                0.87204,                0.54891,                 1.3841,                0.90333,                 1.4916,               0.001546,               0.001546,               0.001546
                     13,                 1.5132,                 1.0198,                  1.485,                0.76206,                0.73807,                0.82012,                0.51122,                 1.4703,                 1.0428,                 1.5121,               0.001535,               0.001535,               0.001535
                     14,                 1.5027,                 1.0118,                 1.4731,                0.77779,                0.83693,                0.86705,                0.56757,                 1.2792,                0.86568,                 1.4171,               0.001524,               0.001524,               0.001524
                     15,                 1.4723,                0.96918,                 1.4333,                0.73059,                0.74357,                0.84726,                0.55928,                 1.2941,                 1.0688,                 1.4079,               0.001513,               0.001513,               0.001513
                     16,                 1.4608,                0.95043,                 1.4368,                0.84844,                0.86012,                0.91739,                0.60717,                 1.3164,                0.82479,                  1.416,               0.001502,               0.001502,               0.001502
                     17,                 1.4353,                0.93518,                  1.427,                0.87255,                0.88795,                0.94148,                0.62959,                 1.2766,                0.73776,                 1.3949,               0.001491,               0.001491,               0.001491
                     18,                 1.4269,                0.93708,                 1.4191,                0.87098,                0.88801,                0.93865,                0.64977,                  1.261,                0.76334,                 1.3741,                0.00148,                0.00148,                0.00148
                     19,                 1.4246,                0.91697,                  1.401,                0.86957,                0.89872,                0.94065,                0.65005,                 1.2537,                0.74012,                 1.3619,               0.001469,               0.001469,               0.001469
                     20,                 1.4028,                0.88446,                 1.3706,                0.87538,                0.87907,                0.94085,                0.63965,                 1.2589,                0.73966,                 1.3779,               0.001458,               0.001458,               0.001458
                     21,                   1.39,                0.89002,                 1.3991,                0.87018,                0.91074,                0.94801,                0.65585,                 1.2554,                 0.7293,                 1.3618,               0.001447,               0.001447,               0.001447
                     22,                 1.3817,                0.84975,                 1.3816,                0.88312,                0.85061,                0.93349,                0.59665,                 1.3439,                0.76503,                 1.4326,               0.001436,               0.001436,               0.001436
                     23,                 1.3815,                0.86041,                 1.3638,                0.86537,                0.86616,                0.93931,                 0.6632,                 1.2174,                0.71341,                 1.3328,               0.001425,               0.001425,               0.001425
                     24,                 1.3734,                0.84131,                 1.3641,                0.92397,                0.90398,                0.96326,                0.66921,                 1.2051,                0.67898,                 1.3431,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.3561,                0.82503,                 1.3759,                0.89519,                0.89075,                0.94662,                0.65267,                 1.2645,                0.70922,                  1.367,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.3666,                0.82187,                 1.3718,                0.86714,                0.91606,                  0.957,                0.62698,                 1.3295,                0.71878,                 1.3959,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.3422,                0.80129,                 1.3414,                0.91123,                0.92563,                0.96608,                0.67982,                 1.2558,                 0.6511,                 1.3639,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.3527,                0.80849,                 1.3748,                0.82369,                 0.8612,                0.94787,                0.66221,                  1.218,                0.75977,                 1.3428,              0.0013699,              0.0013699,              0.0013699
                     29,                 1.3154,                0.80496,                 1.3232,                0.91044,                0.93008,                0.96756,                0.70139,                 1.1594,                 0.6229,                 1.2979,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.3181,                0.79188,                   1.32,                0.90705,                0.91336,                0.96417,                0.68358,                 1.2022,                0.62991,                 1.3185,              0.0013479,              0.0013479,              0.0013479
                     31,                 1.3167,                0.80236,                  1.344,                0.89556,                0.92898,                0.96741,                0.66951,                 1.1917,                0.65653,                 1.3233,              0.0013369,              0.0013369,              0.0013369
                     32,                 1.3268,                0.79999,                 1.3365,                0.90015,                  0.915,                0.96465,                0.68353,                  1.208,                0.63353,                 1.3323,              0.0013259,              0.0013259,              0.0013259
                     33,                  1.313,                0.77603,                 1.3272,                0.90101,                0.86441,                0.95156,                0.67202,                 1.1664,                0.66535,                  1.301,              0.0013149,              0.0013149,              0.0013149
                     34,                 1.3038,                0.77095,                 1.3323,                0.92978,                0.90766,                 0.9717,                0.69779,                 1.2353,                 0.6352,                 1.3347,              0.0013039,              0.0013039,              0.0013039
                     35,                 1.3149,                0.76894,                 1.3304,                0.90833,                0.93139,                0.97149,                0.69661,                 1.1665,                0.60599,                 1.2958,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.2749,                0.75247,                 1.3079,                0.92509,                0.93071,                0.97143,                 0.7097,                 1.1493,                0.60623,                 1.2821,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.2785,                0.74551,                 1.3018,                 0.9112,                0.94014,                0.97446,                0.70406,                 1.1766,                0.59407,                 1.3035,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.2884,                0.75269,                 1.3147,                0.92755,                0.94048,                0.97283,                  0.693,                 1.2263,                0.61113,                  1.335,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.2979,                0.75284,                  1.311,                0.93219,                 0.9348,                0.96921,                 0.6945,                 1.1734,                 0.6022,                 1.3061,              0.0012489,              0.0012489,              0.0012489
                     40,                  1.273,                0.72533,                  1.293,                0.89351,                0.92954,                 0.9644,                0.69625,                 1.1733,                0.60511,                 1.3061,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.2758,                0.72358,                 1.3034,                0.93564,                0.94966,                0.97157,                0.71773,                 1.1188,                0.58131,                  1.261,              0.0012269,              0.0012269,              0.0012269
                     42,                 1.2682,                0.72969,                 1.2958,                0.92501,                0.93968,                0.97306,                0.70467,                 1.1718,                 0.5848,                 1.2954,              0.0012159,              0.0012159,              0.0012159
                     43,                 1.2464,                0.71401,                  1.284,                0.91181,                0.92296,                0.97351,                0.69868,                 1.1802,                0.59956,                 1.3079,              0.0012049,              0.0012049,              0.0012049
                     44,                 1.2507,                0.70917,                 1.2787,                0.91889,                0.94937,                0.97606,                0.69854,                 1.2085,                0.59632,                 1.3186,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.2429,                 0.6982,                 1.2874,                0.92185,                0.95755,                0.97852,                0.72223,                 1.1206,                0.54684,                  1.265,              0.0011829,              0.0011829,              0.0011829
                     46,                 1.2278,                0.69784,                 1.2705,                0.90316,                0.93239,                0.96572,                0.70309,                 1.1515,                0.59317,                 1.2821,              0.0011719,              0.0011719,              0.0011719
                     47,                 1.2433,                0.68334,                 1.2856,                0.94957,                0.94932,                0.98089,                0.72504,                  1.148,                0.54847,                 1.2775,              0.0011609,              0.0011609,              0.0011609
                     48,                 1.2371,                 0.6931,                 1.2815,                0.92578,                0.94271,                  0.967,                0.70835,                 1.1324,                0.58306,                 1.2713,              0.0011499,              0.0011499,              0.0011499
                     49,                 1.2179,                0.69132,                 1.2699,                0.94733,                0.94215,                0.97864,                0.73272,                 1.1216,                0.55158,                 1.2663,              0.0011389,              0.0011389,              0.0011389
                     50,                 1.2143,                0.68505,                 1.2588,                 0.9442,                0.95199,                0.98151,                0.73341,                 1.0849,                0.54645,                 1.2427,              0.0011279,              0.0011279,              0.0011279
                     51,                 1.2189,                 0.6762,                 1.2512,                0.95321,                0.94468,                0.97998,                0.70942,                 1.1581,                0.55066,                 1.2852,              0.0011169,              0.0011169,              0.0011169
                     52,                  1.209,                0.66975,                 1.2566,                0.94611,                0.95026,                0.97775,                0.72552,                 1.1199,                0.53495,                 1.2637,              0.0011059,              0.0011059,              0.0011059
                     53,                 1.2102,                0.66547,                 1.2592,                0.94082,                0.94083,                0.98012,                0.70879,                 1.1564,                0.54561,                 1.2858,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.2004,                 0.6585,                 1.2548,                0.93625,                0.97157,                0.97942,                0.73961,                  1.097,                0.51663,                 1.2459,              0.0010839,              0.0010839,              0.0010839
                     55,                   1.21,                 0.6632,                 1.2613,                 0.9459,                0.96426,                0.98272,                0.72531,                 1.1168,                0.53052,                 1.2587,              0.0010729,              0.0010729,              0.0010729
                     56,                 1.2154,                0.64529,                 1.2507,                0.95074,                0.95761,                0.98503,                0.73082,                 1.1071,                0.51465,                 1.2515,              0.0010619,              0.0010619,              0.0010619
                     57,                 1.1932,                 0.6451,                 1.2452,                0.93616,                0.94115,                0.97863,                0.74585,                 1.0688,                0.53209,                 1.2213,              0.0010509,              0.0010509,              0.0010509
                     58,                 1.1889,                0.66485,                 1.2615,                 0.9403,                0.94024,                 0.9802,                0.73838,                 1.0653,                 0.5237,                 1.2307,              0.0010399,              0.0010399,              0.0010399
                     59,                 1.1853,                0.64351,                 1.2449,                0.96957,                 0.9532,                0.98105,                0.74361,                 1.0808,                0.50517,                 1.2367,              0.0010289,              0.0010289,              0.0010289
                     60,                  1.172,                 0.6368,                 1.2341,                0.94648,                0.95035,                0.97928,                0.73655,                 1.1132,                0.51497,                 1.2524,              0.0010179,              0.0010179,              0.0010179
                     61,                 1.1761,                0.65077,                 1.2479,                0.92313,                 0.9674,                0.97589,                0.73345,                  1.107,                0.54658,                 1.2477,              0.0010069,              0.0010069,              0.0010069
                     62,                 1.1782,                0.64422,                 1.2461,                0.94143,                0.96903,                 0.9853,                 0.7452,                 1.0648,                0.49499,                 1.2244,             0.00099587,             0.00099587,             0.00099587
                     63,                 1.1711,                 0.6323,                 1.2396,                0.95747,                0.96277,                0.98208,                0.74582,                 1.0739,                0.49405,                 1.2327,             0.00098486,             0.00098486,             0.00098486
                     64,                 1.1613,                 0.6369,                  1.235,                0.95353,                0.95015,                0.98289,                0.73993,                 1.1217,                0.52317,                 1.2592,             0.00097386,             0.00097386,             0.00097386
                     65,                 1.1578,                0.62345,                 1.2315,                0.94112,                0.94139,                0.97649,                0.72579,                 1.1317,                0.52503,                 1.2683,             0.00096286,             0.00096286,             0.00096286
                     66,                 1.1411,                0.62705,                 1.2366,                0.95698,                0.96807,                0.98423,                0.74479,                 1.0741,                0.49393,                 1.2334,             0.00095186,             0.00095186,             0.00095186
                     67,                 1.1643,                0.63367,                 1.2383,                0.94968,                0.96813,                0.98273,                0.73923,                 1.1212,                0.50914,                 1.2692,             0.00094085,             0.00094085,             0.00094085
                     68,                 1.1713,                0.63232,                 1.2334,                0.94429,                0.96906,                 0.9836,                 0.7435,                 1.1017,                0.49294,                 1.2561,             0.00092985,             0.00092985,             0.00092985
                     69,                 1.1596,                0.61488,                 1.2259,                0.93511,                0.96559,                0.98051,                0.74949,                 1.0515,                0.49488,                 1.2196,             0.00091885,             0.00091885,             0.00091885
                     70,                 1.1435,                0.62299,                 1.2137,                0.94822,                0.96557,                0.98393,                0.74346,                 1.0659,                0.49536,                 1.2247,             0.00090785,             0.00090785,             0.00090785
                     71,                 1.1386,                0.59822,                 1.2174,                0.93203,                0.97616,                0.98454,                0.74569,                 1.0814,                0.49095,                 1.2336,             0.00089685,             0.00089685,             0.00089685
                     72,                 1.1246,                0.59103,                 1.2127,                0.96572,                0.96526,                0.98645,                0.75706,                 1.0589,                0.46467,                 1.2234,             0.00088584,             0.00088584,             0.00088584
                     73,                 1.1229,                 0.6035,                 1.2109,                0.96952,                 0.9622,                0.98713,                0.75805,                 1.0494,                 0.4799,                 1.2204,             0.00087484,             0.00087484,             0.00087484
                     74,                 1.1245,                0.60412,                 1.2061,                0.94054,                0.95286,                0.98429,                0.73119,                  1.122,                0.50587,                 1.2695,             0.00086384,             0.00086384,             0.00086384
                     75,                 1.1328,                0.59894,                 1.2177,                0.95188,                0.96218,                0.98436,                0.74356,                 1.0835,                0.48238,                 1.2338,             0.00085284,             0.00085284,             0.00085284
                     76,                 1.1279,                0.58804,                 1.2102,                0.95325,                0.95225,                0.98073,                0.72237,                 1.1554,                0.50847,                 1.2724,             0.00084184,             0.00084184,             0.00084184
                     77,                 1.1147,                0.59639,                 1.1951,                0.96367,                0.96891,                0.98697,                0.75372,                 1.0553,                0.47194,                 1.2195,             0.00083083,             0.00083083,             0.00083083
                     78,                 1.1053,                0.57228,                  1.206,                0.96272,                0.96819,                0.98704,                0.75398,                 1.0517,                0.45951,                 1.2156,             0.00081983,             0.00081983,             0.00081983
                     79,                 1.1085,                0.60517,                 1.2125,                0.95899,                0.94635,                0.98089,                0.75127,                 1.0435,                0.48349,                 1.2166,             0.00080883,             0.00080883,             0.00080883
                     80,                 1.1196,                 0.5919,                 1.2026,                0.95176,                 0.9587,                0.98054,                 0.7553,                 1.0381,                0.47745,                 1.2086,             0.00079783,             0.00079783,             0.00079783
                     81,                 1.1135,                0.57947,                 1.2028,                0.96812,                0.97065,                0.98529,                0.76218,                 1.0537,                 0.4679,                 1.2197,             0.00078682,             0.00078682,             0.00078682
                     82,                 1.1111,                 0.5867,                    1.2,                0.97217,                0.97009,                0.98676,                0.75554,                 1.0604,                0.45818,                 1.2267,             0.00077582,             0.00077582,             0.00077582
                     83,                 1.0952,                0.59276,                 1.1999,                0.96216,                0.97592,                0.98769,                0.76227,                 1.0379,                0.45101,                 1.2095,             0.00076482,             0.00076482,             0.00076482
                     84,                 1.0596,                 0.5645,                 1.1696,                0.96399,                0.96864,                0.98576,                0.75447,                 1.0633,                0.45506,                 1.2316,             0.00075382,             0.00075382,             0.00075382
                     85,                 1.0798,                   0.57,                 1.1864,                0.95941,                0.98112,                0.98903,                0.76898,                 1.0085,                0.44644,                 1.1929,             0.00074282,             0.00074282,             0.00074282
                     86,                 1.0736,                0.55858,                 1.1849,                0.96701,                0.96782,                0.98716,                0.76813,                 1.0075,                0.44728,                 1.1897,             0.00073181,             0.00073181,             0.00073181
                     87,                 1.0825,                 0.5668,                 1.1921,                0.94892,                0.97451,                0.98625,                0.76111,                 1.0362,                0.45495,                 1.2119,             0.00072081,             0.00072081,             0.00072081
                     88,                 1.0692,                   0.56,                 1.1745,                0.95087,                0.95014,                0.98315,                0.76303,                  1.012,                0.46266,                 1.1918,             0.00070981,             0.00070981,             0.00070981
                     89,                 1.0724,                0.56206,                 1.1931,                 0.9571,                0.96211,                0.98682,                0.76366,                 1.0196,                0.46001,                  1.205,             0.00069881,             0.00069881,             0.00069881
                     90,                 1.0699,                0.56066,                 1.1746,                0.96017,                0.96846,                0.98702,                 0.7563,                 1.0507,                0.45063,                 1.2261,              0.0006878,              0.0006878,              0.0006878
                     91,                 1.0754,                0.56615,                 1.1783,                0.95838,                0.96751,                 0.9832,                 0.7654,                 1.0176,                0.45874,                 1.1981,              0.0006768,              0.0006768,              0.0006768
                     92,                 1.0509,                0.55779,                 1.1622,                0.94895,                0.97134,                0.98673,                 0.7607,                 1.0424,                0.45722,                 1.2185,              0.0006658,              0.0006658,              0.0006658
                     93,                 1.0531,                0.55892,                 1.1693,                0.96268,                0.96661,                0.98514,                0.76475,                 1.0212,                0.44971,                 1.2053,              0.0006548,              0.0006548,              0.0006548
                     94,                 1.0554,                0.54816,                 1.1776,                0.97281,                0.96509,                0.98669,                0.76175,                 1.0097,                0.44614,                 1.1923,              0.0006438,              0.0006438,              0.0006438
                     95,                 1.0562,                0.54678,                 1.1713,                0.96071,                0.96786,                0.98599,                0.76346,                 1.0224,                0.44656,                 1.1984,             0.00063279,             0.00063279,             0.00063279
                     96,                 1.0473,                0.53839,                 1.1621,                0.97068,                0.97162,                0.98773,                0.76887,                 1.0072,                0.43476,                 1.1944,             0.00062179,             0.00062179,             0.00062179
                     97,                 1.0407,                0.54259,                  1.169,                0.96943,                0.96939,                0.98626,                0.76551,                 1.0017,                0.44036,                 1.1881,             0.00061079,             0.00061079,             0.00061079
                     98,                 1.0393,                 0.5326,                 1.1695,                0.95906,                0.95907,                0.98509,                0.77381,                0.97278,                0.44052,                 1.1732,             0.00059979,             0.00059979,             0.00059979
                     99,                  1.044,                0.54313,                 1.1661,                0.96804,                0.96013,                0.98621,                0.76151,                 1.0413,                0.44555,                 1.2166,             0.00058878,             0.00058878,             0.00058878
                    100,                 1.0545,                 0.5497,                 1.1677,                 0.9586,                0.97542,                0.98731,                0.77348,                0.98484,                 0.4343,                  1.178,             0.00057778,             0.00057778,             0.00057778
                    101,                 1.0417,                   0.55,                 1.1777,                0.96713,                0.97273,                0.98583,                0.76984,                 1.0061,                0.44222,                 1.1916,             0.00056678,             0.00056678,             0.00056678
                    102,                 1.0316,                0.54088,                 1.1526,                0.96829,                0.96592,                 0.9877,                0.77183,                0.99373,                0.43407,                 1.1842,             0.00055578,             0.00055578,             0.00055578
                    103,                 1.0091,                0.53008,                 1.1409,                 0.9677,                0.97009,                0.98263,                0.76406,                 1.0318,                0.43833,                 1.2125,             0.00054478,             0.00054478,             0.00054478
                    104,                 1.0258,                0.53298,                 1.1548,                0.96809,                0.96474,                0.98417,                0.77119,                0.99067,                0.43008,                 1.1803,             0.00053377,             0.00053377,             0.00053377
                    105,                 1.0252,                 0.5259,                 1.1556,                0.96804,                0.97102,                 0.9866,                0.77583,                0.98002,                0.43046,                  1.178,             0.00052277,             0.00052277,             0.00052277
                    106,                 1.0156,                0.53106,                 1.1449,                0.96626,                0.97242,                0.98573,                0.77532,                0.96179,                0.42199,                  1.163,             0.00051177,             0.00051177,             0.00051177
                    107,                 1.0248,                0.52209,                 1.1587,                0.95865,                0.96149,                0.98695,                0.77267,                0.99505,                0.43023,                 1.1868,             0.00050077,             0.00050077,             0.00050077
                    108,                0.99712,                0.51877,                 1.1387,                0.95498,                0.97164,                0.98359,                0.77518,                 0.9738,                0.43272,                 1.1783,             0.00048976,             0.00048976,             0.00048976
                    109,                 1.0247,                0.53091,                 1.1592,                0.96205,                0.97126,                0.98626,                 0.7747,                0.99567,                0.42654,                 1.1874,             0.00047876,             0.00047876,             0.00047876
                    110,                 1.0036,                0.52796,                 1.1451,                0.97124,                0.97352,                0.98763,                0.78593,                0.97264,                0.42483,                 1.1724,             0.00046776,             0.00046776,             0.00046776
                    111,                 1.0084,                0.52777,                 1.1432,                  0.964,                0.97257,                0.98349,                0.77241,                0.98138,                0.41954,                   1.18,             0.00045676,             0.00045676,             0.00045676
                    112,                 1.0112,                0.53264,                 1.1577,                0.96414,                0.96994,                 0.9887,                0.77464,                0.98898,                 0.4363,                 1.1803,             0.00044576,             0.00044576,             0.00044576
                    113,                 0.9871,                0.51616,                 1.1372,                 0.9686,                0.97197,                0.98817,                0.78105,                0.96768,                0.41932,                 1.1719,             0.00043475,             0.00043475,             0.00043475
                    114,                0.99112,                0.51568,                 1.1375,                0.96404,                0.96933,                0.98619,                 0.7805,                0.96464,                0.41861,                  1.169,             0.00042375,             0.00042375,             0.00042375
                    115,                0.97858,                0.50791,                 1.1371,                0.96992,                0.96731,                0.98489,                0.77976,                0.94929,                 0.4147,                 1.1641,             0.00041275,             0.00041275,             0.00041275
                    116,                0.97699,                 0.4988,                  1.129,                0.96109,                0.97174,                0.98452,                0.77622,                0.96442,                0.42071,                 1.1742,             0.00040175,             0.00040175,             0.00040175
                    117,                0.97104,                0.50499,                 1.1362,                0.96522,                0.97065,                0.98786,                0.78583,                0.94608,                0.41583,                 1.1616,             0.00039074,             0.00039074,             0.00039074
                    118,                0.96822,                0.51096,                 1.1412,                0.96526,                0.97222,                0.98611,                0.77888,                0.96394,                0.41121,                 1.1763,             0.00037974,             0.00037974,             0.00037974
                    119,                0.97441,                0.49921,                 1.1272,                0.96281,                0.96854,                0.98496,                 0.7784,                0.94368,                0.41509,                 1.1582,             0.00036874,             0.00036874,             0.00036874
                    120,                0.96914,                0.50757,                 1.1237,                0.96211,                0.98035,                0.98441,                0.78513,                0.94622,                0.40863,                 1.1665,             0.00035774,             0.00035774,             0.00035774
                    121,                0.95996,                0.50503,                 1.1293,                0.96951,                0.95932,                0.98157,                0.77474,                0.97422,                0.41881,                 1.1812,             0.00034674,             0.00034674,             0.00034674
                    122,                0.95916,                0.49253,                  1.118,                 0.9587,                0.98024,                0.98749,                0.77531,                 0.9654,                0.40882,                 1.1747,             0.00033573,             0.00033573,             0.00033573
                    123,                0.96462,                 0.4995,                 1.1332,                0.96954,                0.96833,                0.98934,                0.78393,                0.95524,                0.40804,                 1.1685,             0.00032473,             0.00032473,             0.00032473
                    124,                0.96617,                0.50628,                 1.1281,                0.96438,                0.97909,                0.98851,                0.78399,                0.95306,                0.40986,                 1.1695,             0.00031373,             0.00031373,             0.00031373
                    125,                0.95487,                0.49747,                 1.1247,                0.97166,                0.97481,                0.98472,                0.77488,                 0.9725,                0.41149,                 1.1883,             0.00030273,             0.00030273,             0.00030273
