                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1882,                0.61422,                 1.2206,                0.96879,                0.95423,                0.98498,                0.74163,                 1.0856,                0.49382,                 1.1885,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.1963,                0.62632,                 1.2193,                0.92493,                0.96072,                 0.9839,                0.73494,                 1.1352,                0.52335,                 1.2192,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.1892,                0.60576,                 1.2066,                0.94705,                0.94797,                0.98175,                0.73902,                 1.1123,                0.50814,                 1.2055,              0.0012599,              0.0012599,              0.0012599
                     39,                  1.176,                 0.6036,                 1.2172,                0.95862,                0.95304,                0.98354,                 0.7426,                 1.0918,                0.49376,                 1.1939,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.1684,                0.59213,                 1.2049,                0.95113,                0.94986,                0.98045,                0.72801,                 1.1139,                0.49835,                 1.2048,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.1639,                0.60282,                 1.2048,                0.95703,                0.94478,                0.98099,                0.72816,                 1.1406,                0.50627,                 1.2249,              0.0012269,              0.0012269,              0.0012269
                     42,                 1.1661,                0.60018,                  1.203,                0.96224,                0.94689,                0.98535,                0.74249,                 1.1289,                0.50472,                 1.2075,              0.0012159,              0.0012159,              0.0012159
                     43,                 1.1413,                0.58283,                 1.1882,                  0.951,                0.95726,                 0.9831,                0.73053,                 1.1301,                0.49514,                  1.212,              0.0012049,              0.0012049,              0.0012049
                     44,                 1.1484,                0.58813,                    1.2,                0.94792,                0.94407,                0.97844,                0.73771,                 1.1042,                 0.5148,                  1.202,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.1605,                0.60079,                 1.2015,                0.94833,                 0.9587,                 0.9789,                 0.7413,                 1.0969,                0.49094,                 1.1919,              0.0011829,              0.0011829,              0.0011829
                     46,                 1.1395,                 0.5847,                 1.1954,                0.96027,                0.94593,                0.98277,                0.74637,                 1.0801,                0.48085,                 1.1858,              0.0011719,              0.0011719,              0.0011719
                     47,                 1.1315,                 0.5892,                 1.1856,                 0.9625,                0.95023,                0.97963,                0.73658,                 1.1242,                0.48521,                  1.214,              0.0011609,              0.0011609,              0.0011609
                     48,                 1.1366,                0.58509,                 1.1761,                0.95493,                0.94927,                0.98207,                0.73061,                 1.1039,                0.49122,                 1.2042,              0.0011499,              0.0011499,              0.0011499
                     49,                 1.1279,                0.56565,                  1.184,                0.96238,                0.96699,                0.98776,                0.74641,                 1.0917,                0.47242,                 1.1883,              0.0011389,              0.0011389,              0.0011389
                     50,                 1.1349,                0.58068,                 1.1874,                0.95076,                  0.967,                0.98783,                 0.7514,                 1.0892,                0.47456,                 1.1906,              0.0011279,              0.0011279,              0.0011279
                     51,                 1.1229,                0.56449,                 1.1874,                0.96673,                0.95639,                0.98546,                0.75157,                 1.0804,                0.46735,                 1.1808,              0.0011169,              0.0011169,              0.0011169
