                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1976,                0.69798,                 1.1243,                0.83877,                0.89091,                0.92941,                0.57531,                  1.259,                 1.1647,                 1.2726,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1978,                0.70322,                  1.141,                0.81229,                0.74545,                0.82195,                0.47526,                 1.3813,                 1.6197,                 1.4017,               0.001307,               0.001307,               0.001307
                     37,                 1.2061,                0.71149,                  1.192,                0.84956,                0.72727,                 0.8139,                0.51232,                 1.3689,                  1.248,                 1.3633,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1834,                0.70206,                 1.1635,                0.87577,                0.76914,                0.89464,                0.55511,                  1.367,                0.82667,                 1.3422,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1284,                0.71443,                 1.1284,                0.87577,                0.76914,                0.89464,                0.55511,                  1.367,                0.82667,                 1.3422,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2267,                0.76397,                  1.189,                0.94073,                0.72727,                0.88072,                0.54278,                 1.3549,                0.94491,                  1.348,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1775,                0.72589,                  1.174,                0.80355,                0.83636,                0.87302,                0.52771,                 1.3085,                 1.0791,                 1.3176,               0.001208,               0.001208,               0.001208
                     42,                 1.1462,                  0.745,                 1.1555,                0.83801,                0.85455,                0.90598,                0.56414,                  1.278,                0.89225,                 1.2957,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.134,                0.73458,                 1.1788,                0.83801,                0.85455,                0.90598,                0.56414,                  1.278,                0.89225,                 1.2957,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0863,                0.66144,                 1.1342,                0.81788,                0.89827,                0.92653,                0.57599,                 1.2535,                0.84277,                  1.248,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0933,                0.65707,                 1.0997,                0.86364,                0.92131,                0.93631,                0.62866,                 1.1672,                0.79605,                 1.1637,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0509,                0.65817,                  1.104,                0.90998,                0.92727,                0.95747,                0.63838,                 1.1337,                0.76737,                 1.1457,               0.001109,               0.001109,               0.001109
